City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Malpe,IN,85.3,clear sky,13.35,74.72,Hotel Sri Krishna Residency
349,Victoria,HK,75.18,overcast clouds,22.29,114.16,Mini Hotel Central
351,Kassala,SD,87.4,clear sky,15.45,36.4,Amassi Hotel Gash
356,Mahebourg,MU,85.24,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
357,Manvi,IN,85.26,clear sky,15.98,77.05,ರಾಮಣ್ಣ ನಾಯಕ
363,Georgetown,MY,89.55,few clouds,5.41,100.34,Cititel Penang
366,Cap Malheureux,MU,85.46,clear sky,-19.98,57.61,Pereybere Hotel & Spa
367,Uniao,BR,77.02,overcast clouds,-4.59,-42.86,Casa Luquinha
368,Abu Zabad,SD,84.04,clear sky,12.35,29.25,حامد محمد نور
373,Mutis,CO,76.51,light rain,6.23,-77.4,Paraiso Escondido
377,Jibuti,DJ,80.02,clear sky,11.5,42.5,Orchid Main Camp Goubet
381,Anloga,GH,80.82,overcast clouds,5.79,0.9,Pin Drop Hotel
382,Mapastepec,MX,75.06,clear sky,15.43,-92.9,Hotel San Carlos
389,Banjar,ID,87.66,moderate rain,-8.19,114.97,The Hamsa Resort
391,Sungairaya,ID,83.53,light rain,0.7,108.9,Mess P.Milu
394,Bairiki,KI,82.4,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
407,Esperance,AU,75.04,few clouds,-33.87,121.9,Hospitality Esperance
421,Angoche,MZ,87.49,clear sky,-16.23,39.91,Guest House HESADA
427,Mahuva,IN,82.0,clear sky,21.09,71.76,Hotel Blue Diamond.
430,Barpeta,IN,82.49,broken clouds,26.32,91.0,MJ GUEST HOUSE
435,Bahir Dar,ET,75.43,clear sky,11.59,37.39,"Delano Hotel, Bahir Dar"
436,Rantauprapat,ID,83.64,overcast clouds,2.1,99.83,Permata Land Hotel & Resort
444,Mogadishu,SO,85.87,broken clouds,2.04,45.34,Hotel Juba
445,Tevaitoa,PF,81.27,broken clouds,-16.78,-151.5,Hôtel Raiatea Lodge
446,Antalaha,MG,84.79,few clouds,-14.9,50.28,Hotel Vitasoa
447,Ndjole,GA,83.21,overcast clouds,-0.18,10.76,Motel Kédyann
449,Jawhar,SO,89.38,clear sky,2.78,45.5,hantiwadaag village part one
456,Port-Gentil,GA,80.56,light rain,-0.72,8.78,Fengshui Residence
457,Ouargaye,BF,80.44,overcast clouds,11.5,0.06,Auberge Belle Etoile
463,Atambua,ID,77.14,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
465,Coxim,BR,75.9,overcast clouds,-18.51,-54.76,Hotel Avenida
474,Harper,LR,80.85,light rain,4.38,-7.72,Screensaver
475,Alyangula,AU,89.47,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
476,Acapulco,MX,76.82,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
478,Gombe,NG,80.65,broken clouds,10.29,11.17,"Alh,Babayo Sarkin Sulken Gombe Comfound"
481,Karachi,PK,80.42,clear sky,24.91,67.08,Ali's Montessori School
482,Cabedelo,BR,79.47,scattered clouds,-6.98,-34.83,Hotel Pigalle
485,Yulara,AU,84.04,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
486,Pemangkat,ID,81.09,overcast clouds,1.17,108.97,Ramah Kost KITA
491,San Andres,CO,81.79,overcast clouds,12.58,-81.7,Hotel Arena Blanca
493,Dondo,MZ,89.11,clear sky,-19.61,34.74,Arco Iris
500,Monywa,MM,82.33,overcast clouds,22.12,95.13,Monywa Hotel
504,Tawau,MY,86.13,scattered clouds,4.25,117.89,Shervinton Executive Boutique Hotel
508,Mildura,AU,80.56,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
509,Khanu Woralaksaburi,TH,78.64,broken clouds,16.06,99.86,แฟลตตำรวจ บ้านดาบโก ดอกฝิ่น
511,Fare,PF,81.16,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
512,Moramanga,MG,84.06,clear sky,-18.93,48.2,Espace VANILLA
525,Takoradi,GH,82.49,scattered clouds,4.88,-1.76,Raybow International Hotel
527,Safaga,EG,76.95,overcast clouds,26.73,33.94,Lamar Resort Abu Soma
531,Alugan,PH,79.36,broken clouds,12.22,125.48,JM Lodge
533,Nakasongola,UG,80.82,broken clouds,1.31,32.46,Norena Hotel Nakasongola
534,Temerloh,MY,83.44,light rain,3.45,102.42,U Design Hotel Temerloh
539,Manado,ID,81.37,scattered clouds,1.49,124.85,Aryaduta Hotel
544,Gorontalo,ID,83.53,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
