City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Sal Rei,CV,16.18,-22.92,72.16,83,40,16.11,scattered clouds
82,Lagoa,PT,39.05,-27.98,62.91,76,59,13.24,broken clouds
83,Puerto Escondido,MX,15.85,-97.07,76.89,65,0,4.32,clear sky
84,Saldanha,ZA,-33.01,17.94,62.65,69,34,6.89,scattered clouds
85,Carutapera,BR,-1.2,-46.02,75.79,95,96,5.64,overcast clouds
86,New Norfolk,AU,-42.78,147.06,65.7,43,9,1.99,clear sky
87,Melong,CM,5.12,9.96,74.71,70,100,0.02,overcast clouds
88,La Ronge,CA,55.1,-105.28,-0.15,78,90,4.61,light snow
89,Sinnamary,GF,5.38,-52.95,76.51,88,91,8.32,overcast clouds
90,Sambava,MG,-14.27,50.17,84.65,59,88,12.97,overcast clouds
91,Dikson,RU,73.51,80.55,1.69,95,100,23.26,snow
92,Laurel,US,39.1,-76.85,44.64,64,20,0.0,few clouds
93,Puerto Ayora,EC,-0.74,-90.35,67.59,94,34,5.93,scattered clouds
94,Matay,EG,28.42,30.78,63.23,41,64,14.09,broken clouds
95,Salekhard,RU,66.53,66.6,-31.92,100,45,5.06,scattered clouds
96,Hervey Bay,AU,-25.3,152.85,79.03,78,14,5.01,few clouds
97,Hyeres,FR,43.12,6.12,47.73,58,0,2.3,clear sky
98,Brae,GB,60.4,-1.35,37.31,64,93,21.9,overcast clouds
99,Port Elizabeth,ZA,-33.92,25.57,64.69,94,90,16.11,fog
100,Neuquen,AR,-38.95,-68.06,58.89,88,0,0.0,clear sky
101,Sitka,US,57.05,-135.33,30.09,86,40,4.61,light snow
102,Hithadhoo,MV,-0.6,73.08,80.47,83,100,17.22,light rain
103,Pabrade,LT,55.0,25.78,30.25,96,93,2.73,overcast clouds
104,Pangnirtung,CA,66.15,-65.71,17.64,95,100,3.29,light snow
105,Hermanus,ZA,-34.42,19.23,68.9,92,100,13.85,light rain
106,Namibe,AO,-15.2,12.15,74.64,65,75,3.11,broken clouds
107,Catio,GW,11.28,-15.25,76.21,86,96,4.74,overcast clouds
108,Barcelos,PT,41.54,-8.62,51.94,86,82,7.27,broken clouds
109,Dingzhou,CN,38.51,115.0,55.51,36,0,4.23,clear sky
110,Ankazobe,MG,-18.32,47.12,79.21,27,0,8.19,clear sky
111,Umarkot,PK,25.36,69.74,82.76,17,0,5.39,clear sky
112,Saskylakh,RU,71.92,114.08,-16.92,96,100,13.31,overcast clouds
