City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cherskiy,RU,2021-12-04 02:20:00,68.75,161.3,-9.58,97,100,15.9
68,Mataura,NZ,2021-12-04 02:19:16,-46.1927,168.8643,65.73,84,100,2.06
69,Buala,SB,2021-12-04 02:20:01,-8.145,159.5921,84.36,72,100,0.63
70,Puerto Del Rosario,ES,2021-12-04 02:20:01,28.5004,-13.8627,65.95,77,0,16.11
71,Nanortalik,GL,2021-12-04 02:20:01,60.1432,-45.2371,30.83,89,100,20.69
72,Najran,SA,2021-12-04 02:20:02,17.4924,44.1277,48.85,36,2,0.83
73,Kapaa,US,2021-12-04 02:19:56,22.0752,-159.319,75.52,70,1,3.0
74,Cape Town,ZA,2021-12-04 02:19:42,-33.9258,18.4232,63.09,70,20,5.99
75,Ponta Do Sol,PT,2021-12-04 02:20:02,32.6667,-17.1,65.03,69,99,8.93
76,Thouars,FR,2021-12-04 02:20:03,46.976,-0.2151,54.19,93,100,22.3
77,Niono,ML,2021-12-04 02:20:03,14.2526,-5.993,74.79,16,8,10.92
78,Ruwi,OM,2021-12-04 02:20:04,23.5996,58.5507,65.89,53,0,2.84
79,Chauk,MM,2021-12-04 02:20:04,20.8833,94.8167,74.34,66,100,4.18
80,Lavrentiya,RU,2021-12-04 02:20:04,65.5833,-171.0,20.1,96,100,8.63
81,Bethel,US,2021-12-04 02:19:48,41.3712,-73.414,38.48,60,1,1.01
82,Clarence Town,AU,2021-12-04 02:20:05,-32.5833,151.7833,71.94,72,100,4.85
83,Muroto,JP,2021-12-04 02:20:05,33.2833,134.15,51.84,54,5,16.6
84,Havre-Saint-Pierre,CA,2021-12-04 02:20:06,50.2334,-63.5986,23.0,58,1,21.85
85,Kruisfontein,ZA,2021-12-04 02:20:06,-34.0033,24.7314,56.88,82,100,2.71
86,Saint George,US,2021-12-04 02:20:07,37.1041,-113.5841,58.53,32,1,1.99
87,Canoa,DO,2021-12-04 02:20:07,18.355,-71.1585,76.41,84,99,2.17
88,Komsomolskiy,UZ,2021-12-04 02:20:07,40.4272,71.7189,41.72,48,100,0.0
89,Dong Xoai,VN,2021-12-04 02:20:08,11.5333,106.9167,72.03,62,81,9.15
90,Avarua,CK,2021-12-04 02:15:15,-21.2078,-159.775,77.05,94,75,5.75
91,Floro,NO,2021-12-04 02:20:09,61.5996,5.0328,35.96,80,90,21.85
92,Teknaf,BD,2021-12-04 02:20:09,20.8624,92.3058,76.24,67,92,2.04
93,Alindao,CF,2021-12-04 02:20:09,5.0267,21.2088,72.48,88,99,1.97
94,Beyneu,KZ,2021-12-04 02:20:10,45.3167,55.2,31.93,74,6,9.93
95,Vaini,TO,2021-12-04 02:20:10,-21.2,-175.2,84.36,89,40,11.5
96,Barrow,US,2021-12-04 02:20:10,71.2906,-156.7887,-11.18,70,1,23.02
97,Ahipara,NZ,2021-12-04 02:20:11,-35.1667,173.1667,66.16,87,100,6.87
98,Hamilton,US,2021-12-04 02:18:50,39.1834,-84.5333,50.99,63,1,4.61
99,Grindavik,IS,2021-12-04 02:20:11,63.8424,-22.4338,27.07,93,20,9.22
100,Uddevalla,SE,2021-12-04 02:20:12,58.3478,11.9424,27.07,90,100,3.0
101,Ginir,ET,2021-12-04 02:20:12,7.1333,40.7,53.62,67,5,3.49
102,Salalah,OM,2021-12-04 02:20:13,17.0151,54.0924,71.69,46,0,3.44
103,Bengkulu,ID,2021-12-04 02:17:55,-3.8004,102.2655,82.53,71,100,1.81
104,Ola,RU,2021-12-04 02:20:13,59.5833,151.2833,0.14,87,100,3.94
105,Poya,NC,2021-12-04 02:20:13,-21.35,165.15,83.01,68,76,3.49
106,Sisimiut,GL,2021-12-04 02:20:14,66.9395,-53.6735,18.7,61,100,21.34
107,Visby,SE,2021-12-04 02:20:14,57.6409,18.296,25.86,93,90,4.61
108,Jamestown,US,2021-12-04 02:19:54,42.097,-79.2353,35.02,84,90,5.99
109,Soroti,UG,2021-12-04 02:20:15,1.7146,33.6111,65.82,81,32,2.04
110,Naze,JP,2021-12-04 02:20:16,28.3667,129.4833,61.72,54,22,20.6
111,Guerrero Negro,MX,2021-12-04 02:20:16,27.9769,-114.0611,62.96,81,66,13.0
112,Quelimane,MZ,2021-12-04 02:20:16,-17.8786,36.8883,77.18,76,0,6.2
113,Bac Lieu,VN,2021-12-04 02:20:17,9.285,105.7244,75.04,75,94,9.73
114,Iralaya,HN,2021-12-04 02:20:17,15.0,-83.2333,77.04,89,91,10.29
115,Bambous Virieux,MU,2021-12-04 02:19:50,-20.3428,57.7575,79.21,88,20,3.44
116,Sorland,NO,2021-12-04 02:20:18,67.667,12.6934,31.39,56,62,26.33
117,Bose,IT,2021-12-04 02:20:18,45.4612,8.0137,36.28,54,56,1.95
118,Lincoln,US,2021-12-04 02:17:58,40.8,-96.667,47.64,67,7,3.0
119,Cabo San Lucas,MX,2021-12-04 02:17:43,22.8909,-109.9124,79.52,72,1,3.44
120,Qui Nhon,VN,2021-12-04 02:20:19,13.7667,109.2333,71.98,69,88,17.34
121,Lebu,CL,2021-12-04 02:20:19,-37.6167,-73.65,52.7,89,7,19.93
122,Georgetown,MY,2021-12-04 02:16:25,5.4112,100.3354,82.33,76,20,1.01
123,Hithadhoo,MV,2021-12-04 02:20:19,-0.6,73.0833,81.72,76,44,10.0
124,Mvomero,TZ,2021-12-04 02:20:20,-6.25,38.6667,71.04,97,10,3.24
125,Masumbwe,TZ,2021-12-04 02:20:20,-3.6333,32.1833,63.73,69,99,3.67
